Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD100035,2025-12-14,2025-12-18,Same Day,CUST2636,Customer 1000,Consumer,USA,San Francisco,California,95990,West,PROD804,Technology,Phones,Phones Model 105,9054.08,8,0.15,1473.11
ORD100036,2024-05-04,2024-05-08,Second Class,CUST4282,Customer 1904,Home Office,USA,Boston,Massachusetts,79616,East,PROD672,Furniture,Chairs,Chairs Model 709,721.57,9,0.15,46.73
ORD100037,2024-06-11,2024-06-17,Same Day,CUST2843,Customer 1062,Consumer,USA,Dallas,Texas,93579,South,PROD383,Technology,Copiers,Copiers Model 884,9556.7,9,0.15,1475.19
ORD100038,2024-12-09,2024-12-12,Standard Class,CUST1566,Customer 618,Consumer,USA,Minneapolis,Minnesota,60205,Central,PROD810,Furniture,Tables,Tables Model 256,8608.37,8,0.0,1036.0
ORD100039,2025-03-06,2025-03-10,Standard Class,CUST4509,Customer 3608,Home Office,USA,Los Angeles,California,59857,West,PROD588,Office Supplies,Paper,Paper Model 106,3405.93,6,0.2,-38.56
ORD100040,2024-08-13,2024-08-17,Second Class,CUST2117,Customer 1786,Corporate,USA,Dallas,Texas,13804,South,PROD498,Office Supplies,Paper,Paper Model 444,6975.73,9,0.3,1185.6
ORD100041,2025-08-29,2025-09-03,Standard Class,CUST1343,Customer 2633,Corporate,USA,Minneapolis,Minnesota,27786,Central,PROD987,Furniture,Tables,Tables Model 572,1945.21,3,0.2,470.89
ORD100042,2025-01-23,2025-01-26,Same Day,CUST2033,Customer 3420,Consumer,USA,Los Angeles,California,71644,West,PROD119,Office Supplies,Paper,Paper Model 867,3949.84,6,0.05,518.42
ORD100043,2024-09-10,2024-09-12,Standard Class,CUST3544,Customer 625,Consumer,USA,Boston,Massachusetts,26544,East,PROD584,Furniture,Bookcases,Bookcases Model 785,111.41,2,0.3,-6.76
ORD100044,2024-04-27,2024-05-04,Second Class,CUST4951,Customer 1275,Consumer,USA,Philadelphia,Pennsylvania,85849,East,PROD126,Furniture,Tables,Tables Model 419,1207.48,5,0.1,232.05
ORD100045,2024-04-14,2024-04-20,First Class,CUST4482,Customer 2803,Home Office,USA,Detroit,Michigan,25866,Central,PROD915,Technology,Phones,Phones Model 679,1667.37,2,0.2,263.73
ORD100046,2025-03-06,2025-03-13,Same Day,CUST1432,Customer 1776,Corporate,USA,Boston,Massachusetts,93307,East,PROD948,Technology,Accessories,Accessories Model 570,4612.93,6,0.0,702.87
ORD100047,2025-07-05,2025-07-12,Same Day,CUST2904,Customer 1785,Home Office,USA,San Francisco,California,87656,West,PROD374,Furniture,Bookcases,Bookcases Model 430,2644.25,9,0.3,456.03
ORD100048,2024-12-10,2024-12-11,Same Day,CUST4485,Customer 1332,Consumer,USA,Los Angeles,California,73904,West,PROD317,Office Supplies,Paper,Paper Model 463,2935.48,4,0.15,559.08
ORD100049,2024-03-28,2024-03-30,Same Day,CUST3001,Customer 2275,Consumer,USA,Dallas,Texas,72402,South,PROD761,Office Supplies,Storage,Storage Model 828,140.09,5,0.2,35.64
ORD100050,2025-11-10,2025-11-15,First Class,CUST2938,Customer 2268,Home Office,USA,Detroit,Michigan,55056,Central,PROD535,Furniture,Chairs,Chairs Model 863,2937.94,5,0.05,302.58
ORD100051,2024-07-16,2024-07-19,Standard Class,CUST4042,Customer 2195,Home Office,USA,Dallas,Texas,34267,South,PROD296,Technology,Accessories,Accessories Model 321,1764.35,5,0.1,81.51
ORD100052,2024-07-17,2024-07-20,Second Class,CUST2478,Customer 735,Corporate,USA,Detroit,Michigan,11854,Central,PROD825,Technology,Copiers,Copiers Model 646,3159.63,9,0.2,0.5
ORD100053,2025-05-17,2025-05-18,Standard Class,CUST3351,Customer 1165,Corporate,USA,San Francisco,California,72746,West,PROD551,Furniture,Chairs,Chairs Model 448,8522.64,9,0.1,408.1
ORD100054,2025-10-06,2025-10-12,Standard Class,CUST1621,Customer 612,Home Office,USA,Los Angeles,California,49824,West,PROD187,Office Supplies,Paper,Paper Model 354,1226.09,2,0.0,88.55
ORD100055,2025-04-06,2025-04-10,First Class,CUST4523,Customer 2411,Corporate,USA,Philadelphia,Pennsylvania,50026,East,PROD682,Office Supplies,Storage,Storage Model 735,2832.14,10,0.2,359.04
ORD100056,2024-06-09,2024-06-11,Second Class,CUST3260,Customer 308,Consumer,USA,Philadelphia,Pennsylvania,10350,East,PROD518,Technology,Phones,Phones Model 561,930.49,4,0.3,119.22
ORD100057,2024-03-13,2024-03-19,Second Class,CUST4784,Customer 1084,Home Office,USA,Detroit,Michigan,87304,Central,PROD777,Furniture,Chairs,Chairs Model 923,1534.48,5,0.3,288.3
ORD100058,2024-05-25,2024-05-26,Standard Class,CUST1679,Customer 3247,Corporate,USA,San Francisco,California,87993,West,PROD866,Furniture,Bookcases,Bookcases Model 944,673.41,4,0.3,6.53
ORD100059,2025-07-06,2025-07-10,Same Day,CUST1329,Customer 2450,Consumer,USA,Dallas,Texas,66626,South,PROD852,Furniture,Tables,Tables Model 430,2154.99,5,0.3,25.16
ORD100060,2025-11-19,2025-11-26,First Class,CUST3360,Customer 165,Consumer,USA,Houston,Texas,71669,South,PROD631,Furniture,Chairs,Chairs Model 767,11417.31,10,0.2,3081.21
ORD100061,2025-04-26,2025-04-29,Same Day,CUST2365,Customer 1316,Home Office,USA,Detroit,Michigan,23710,Central,PROD978,Furniture,Bookcases,Bookcases Model 264,6002.9,7,0.3,1324.94
ORD100062,2025-07-17,2025-07-18,Same Day,CUST1360,Customer 1289,Corporate,USA,Dallas,Texas,52372,South,PROD218,Technology,Accessories,Accessories Model 891,4966.1,5,0.3,864.45
ORD100063,2025-01-05,2025-01-10,Same Day,CUST3561,Customer 1811,Consumer,USA,Minneapolis,Minnesota,36680,Central,PROD373,Furniture,Bookcases,Bookcases Model 662,4831.79,9,0.15,223.59
ORD100064,2024-09-02,2024-09-08,Second Class,CUST2272,Customer 2257,Consumer,USA,San Francisco,California,82384,West,PROD517,Office Supplies,Storage,Storage Model 195,501.81,8,0.0,119.94
ORD100065,2025-12-23,2025-12-26,Same Day,CUST4419,Customer 1977,Corporate,USA,Los Angeles,California,41946,West,PROD567,Office Supplies,Binders,Binders Model 664,3570.83,3,0.15,276.95
ORD100066,2024-10-09,2024-10-16,Same Day,CUST2392,Customer 3827,Home Office,USA,San Francisco,California,45018,West,PROD940,Furniture,Bookcases,Bookcases Model 102,8324.84,9,0.3,1575.13
ORD100067,2025-07-05,2025-07-09,First Class,CUST2361,Customer 2261,Home Office,USA,Miami,Florida,59441,South,PROD566,Office Supplies,Storage,Storage Model 429,5212.67,10,0.3,-132.51
ORD100068,2024-11-21,2024-11-27,Same Day,CUST3888,Customer 3742,Corporate,USA,Seattle,Washington,60604,West,PROD779,Furniture,Bookcases,Bookcases Model 911,8557.88,7,0.05,1311.35
ORD100069,2025-03-26,2025-03-27,Same Day,CUST1062,Customer 2960,Consumer,USA,San Francisco,California,63736,West,PROD991,Furniture,Chairs,Chairs Model 770,3681.74,9,0.2,0.4
ORD100070,2024-12-02,2024-12-09,Same Day,CUST4908,Customer 1298,Home Office,USA,Los Angeles,California,73956,West,PROD993,Office Supplies,Paper,Paper Model 654,5016.97,6,0.2,827.55
ORD100071,2024-04-10,2024-04-17,Standard Class,CUST2817,Customer 682,Home Office,USA,Philadelphia,Pennsylvania,49251,East,PROD129,Furniture,Chairs,Chairs Model 147,5344.77,5,0.05,856.19
ORD100072,2025-08-02,2025-08-08,Second Class,CUST1696,Customer 718,Consumer,USA,Houston,Texas,89887,South,PROD991,Office Supplies,Paper,Paper Model 491,1200.76,6,0.15,179.33
ORD100073,2025-11-13,2025-11-14,Same Day,CUST4691,Customer 1179,Home Office,USA,San Francisco,California,81643,West,PROD261,Technology,Phones,Phones Model 175,3277.94,4,0.15,419.15
ORD100074,2024-07-22,2024-07-26,Same Day,CUST1436,Customer 972,Corporate,USA,Detroit,Michigan,84963,Central,PROD467,Technology,Accessories,Accessories Model 688,1911.71,7,0.3,350.97
ORD100075,2024-02-20,2024-02-25,Same Day,CUST4411,Customer 3704,Corporate,USA,Miami,Florida,40162,South,PROD721,Office Supplies,Binders,Binders Model 921,201.51,7,0.1,54.31
ORD100076,2025-11-06,2025-11-12,Second Class,CUST3573,Customer 398,Home Office,USA,Houston,Texas,94717,South,PROD140,Technology,Phones,Phones Model 416,9207.82,10,0.1,2083.53
ORD100077,2025-03-01,2025-03-03,Second Class,CUST1541,Customer 3222,Home Office,USA,Chicago,Illinois,57953,Central,PROD643,Technology,Accessories,Accessories Model 613,4098.75,3,0.0,606.68
ORD100078,2025-04-24,2025-04-25,Second Class,CUST4089,Customer 3959,Consumer,USA,Houston,Texas,98647,South,PROD841,Office Supplies,Paper,Paper Model 790,4578.66,5,0.3,784.19
ORD100079,2025-01-12,2025-01-18,First Class,CUST3394,Customer 1561,Home Office,USA,Minneapolis,Minnesota,58689,Central,PROD210,Office Supplies,Binders,Binders Model 791,2879.79,7,0.0,250.76
ORD100080,2024-03-05,2024-03-11,Same Day,CUST4724,Customer 2872,Corporate,USA,San Francisco,California,95097,West,PROD518,Furniture,Bookcases,Bookcases Model 219,11134.09,9,0.1,850.76
ORD100081,2024-05-18,2024-05-22,Same Day,CUST2519,Customer 2747,Home Office,USA,Los Angeles,California,80804,West,PROD529,Furniture,Tables,Tables Model 701,1310.75,8,0.0,414.43
ORD100082,2024-02-03,2024-02-09,First Class,CUST1889,Customer 1817,Corporate,USA,San Francisco,California,40947,West,PROD975,Technology,Phones,Phones Model 471,3993.67,8,0.2,1020.21
ORD100083,2024-05-05,2024-05-12,Same Day,CUST1375,Customer 2715,Consumer,USA,Philadelphia,Pennsylvania,94109,East,PROD754,Office Supplies,Storage,Storage Model 711,3655.48,6,0.0,390.93
ORD100084,2025-07-21,2025-07-23,Second Class,CUST4330,Customer 3563,Consumer,USA,New York,New York,53064,East,PROD892,Office Supplies,Binders,Binders Model 251,776.89,3,0.2,170.1
ORD100085,2024-01-27,2024-01-29,Standard Class,CUST2467,Customer 3236,Consumer,USA,Boston,Massachusetts,87182,East,PROD431,Furniture,Chairs,Chairs Model 116,9734.58,9,0.1,418.37
ORD100086,2025-04-04,2025-04-11,First Class,CUST3102,Customer 2432,Consumer,USA,San Francisco,California,69245,West,PROD615,Furniture,Chairs,Chairs Model 326,1053.93,7,0.2,-11.52
ORD100087,2025-05-05,2025-05-12,Same Day,CUST2746,Customer 2811,Consumer,USA,Philadelphia,Pennsylvania,74260,East,PROD829,Technology,Copiers,Copiers Model 554,4131.61,5,0.15,-2.71
ORD100088,2025-08-22,2025-08-27,First Class,CUST2560,Customer 2447,Home Office,USA,New York,New York,48652,East,PROD564,Office Supplies,Storage,Storage Model 617,620.29,3,0.0,147.19
ORD100089,2024-08-21,2024-08-25,First Class,CUST4389,Customer 1858,Corporate,USA,Chicago,Illinois,64524,Central,PROD847,Technology,Phones,Phones Model 197,8195.85,9,0.3,483.73
ORD100090,2025-04-30,2025-05-01,Standard Class,CUST4406,Customer 350,Consumer,USA,Dallas,Texas,66606,South,PROD198,Office Supplies,Storage,Storage Model 862,6440.93,5,0.1,1391.54
ORD100091,2025-02-24,2025-02-27,Same Day,CUST4555,Customer 3752,Home Office,USA,Houston,Texas,16743,South,PROD394,Technology,Phones,Phones Model 714,6810.33,10,0.2,1164.59
ORD100092,2024-04-20,2024-04-23,First Class,CUST1470,Customer 3124,Corporate,USA,Dallas,Texas,85248,South,PROD331,Furniture,Bookcases,Bookcases Model 926,2128.96,9,0.05,371.84
ORD100093,2025-12-11,2025-12-14,Standard Class,CUST1738,Customer 1120,Home Office,USA,Minneapolis,Minnesota,50499,Central,PROD447,Technology,Copiers,Copiers Model 459,8291.81,9,0.0,2050.97
ORD100094,2024-02-01,2024-02-02,Second Class,CUST2540,Customer 1720,Corporate,USA,New York,New York,54681,East,PROD261,Furniture,Bookcases,Bookcases Model 478,1609.82,7,0.0,386.28
ORD100095,2025-09-24,2025-09-25,Standard Class,CUST2114,Customer 1815,Home Office,USA,Miami,Florida,65576,South,PROD597,Office Supplies,Storage,Storage Model 721,13273.46,10,0.0,1283.2
ORD100096,2025-11-25,2025-12-01,Same Day,CUST3158,Customer 2733,Corporate,USA,Detroit,Michigan,15952,Central,PROD325,Office Supplies,Binders,Binders Model 504,4777.7,9,0.0,397.82
ORD100097,2024-05-02,2024-05-03,Same Day,CUST4059,Customer 1764,Consumer,USA,New York,New York,26932,East,PROD489,Furniture,Tables,Tables Model 645,4373.64,4,0.05,510.99
ORD100098,2025-03-22,2025-03-23,Same Day,CUST4773,Customer 319,Corporate,USA,Seattle,Washington,85465,West,PROD539,Technology,Copiers,Copiers Model 687,3645.99,6,0.0,993.94
ORD100099,2024-06-24,2024-07-01,Same Day,CUST4407,Customer 2825,Corporate,USA,Minneapolis,Minnesota,21551,Central,PROD547,Technology,Accessories,Accessories Model 964,3097.24,5,0.0,1052.63
ORD100100,2024-12-13,2024-12-15,First Class,CUST4191,Customer 689,Consumer,USA,New York,New York,76910,East,PROD748,Office Supplies,Storage,Storage Model 216,763.83,7,0.2,176.56
ORD100101,2024-06-26,2024-07-01,Second Class,CUST4113,Customer 3110,Home Office,USA,San Francisco,California,19876,West,PROD281,Office Supplies,Storage,Storage Model 891,490.63,3,0.05,52.39
ORD100102,2025-10-12,2025-10-17,First Class,CUST4539,Customer 3978,Home Office,USA,Detroit,Michigan,51436,Central,PROD254,Technology,Copiers,Copiers Model 550,7771.39,8,0.3,772.07
ORD100103,2024-03-16,2024-03-19,Same Day,CUST2851,Customer 155,Consumer,USA,Boston,Massachusetts,58331,East,PROD951,Office Supplies,Storage,Storage Model 393,4028.86,5,0.1,465.67
ORD100104,2024-02-12,2024-02-16,Second Class,CUST2316,Customer 2479,Corporate,USA,Philadelphia,Pennsylvania,75715,East,PROD254,Furniture,Bookcases,Bookcases Model 163,4712.27,10,0.2,679.03
ORD100105,2025-12-25,2025-12-29,Same Day,CUST3146,Customer 2142,Home Office,USA,Chicago,Illinois,30807,Central,PROD472,Office Supplies,Storage,Storage Model 481,1562.03,2,0.2,-28.52
ORD100106,2024-03-08,2024-03-11,Standard Class,CUST3285,Customer 2779,Corporate,USA,Dallas,Texas,47243,South,PROD358,Office Supplies,Paper,Paper Model 841,11880.56,10,0.0,2901.13
ORD100107,2025-11-09,2025-11-13,Second Class,CUST3437,Customer 2904,Consumer,USA,San Francisco,California,50577,West,PROD672,Furniture,Bookcases,Bookcases Model 485,1293.69,3,0.1,267.56
ORD100108,2025-01-05,2025-01-06,First Class,CUST2265,Customer 739,Consumer,USA,Houston,Texas,54791,South,PROD884,Technology,Copiers,Copiers Model 597,8785.05,9,0.0,1555.15
ORD100109,2025-07-06,2025-07-13,Standard Class,CUST3711,Customer 1380,Home Office,USA,Los Angeles,California,27176,West,PROD711,Furniture,Chairs,Chairs Model 485,2285.56,2,0.1,92.2
ORD100110,2025-01-08,2025-01-14,Second Class,CUST4971,Customer 1820,Home Office,USA,Los Angeles,California,47346,West,PROD870,Furniture,Bookcases,Bookcases Model 866,10329.83,10,0.05,445.3
ORD100111,2025-11-25,2025-11-30,Same Day,CUST2891,Customer 3152,Corporate,USA,Chicago,Illinois,60052,Central,PROD614,Technology,Phones,Phones Model 640,5771.0,5,0.15,278.19
ORD100112,2025-01-15,2025-01-20,Standard Class,CUST3913,Customer 3465,Home Office,USA,Chicago,Illinois,26341,Central,PROD391,Furniture,Bookcases,Bookcases Model 185,262.51,3,0.1,40.47
ORD100113,2025-04-06,2025-04-09,Standard Class,CUST2699,Customer 219,Corporate,USA,San Francisco,California,75799,West,PROD482,Office Supplies,Storage,Storage Model 341,397.13,3,0.15,104.51
ORD100114,2025-10-27,2025-10-30,Second Class,CUST1563,Customer 157,Corporate,USA,Chicago,Illinois,71925,Central,PROD812,Office Supplies,Binders,Binders Model 951,1257.86,1,0.1,329.25
ORD100115,2024-08-08,2024-08-15,Second Class,CUST3247,Customer 3852,Home Office,USA,Seattle,Washington,89807,West,PROD640,Office Supplies,Paper,Paper Model 533,13606.69,10,0.0,757.91
ORD100116,2025-09-29,2025-10-03,Standard Class,CUST1454,Customer 3428,Corporate,USA,Boston,Massachusetts,88215,East,PROD648,Furniture,Tables,Tables Model 116,745.78,2,0.0,180.24
ORD100117,2025-03-02,2025-03-04,Standard Class,CUST3144,Customer 3993,Corporate,USA,Seattle,Washington,18870,West,PROD638,Furniture,Tables,Tables Model 657,6509.43,7,0.0,795.25
ORD100118,2024-03-10,2024-03-13,Second Class,CUST4002,Customer 2692,Home Office,USA,Boston,Massachusetts,23587,East,PROD890,Office Supplies,Binders,Binders Model 695,2491.04,7,0.1,37.05
ORD100119,2025-12-02,2025-12-06,Same Day,CUST3587,Customer 747,Consumer,USA,Houston,Texas,18270,South,PROD833,Furniture,Tables,Tables Model 894,9914.34,9,0.1,619.91
ORD100120,2024-11-13,2024-11-18,Same Day,CUST4339,Customer 2225,Corporate,USA,Chicago,Illinois,43202,Central,PROD137,Office Supplies,Binders,Binders Model 871,1264.42,1,0.05,157.65
ORD100121,2025-02-13,2025-02-19,Same Day,CUST4664,Customer 3918,Corporate,USA,San Francisco,California,54438,West,PROD291,Office Supplies,Binders,Binders Model 608,1102.8,6,0.1,132.78
ORD100122,2024-07-03,2024-07-08,First Class,CUST2315,Customer 421,Consumer,USA,Detroit,Michigan,52981,Central,PROD776,Technology,Accessories,Accessories Model 402,907.56,2,0.3,53.71
ORD100123,2024-02-13,2024-02-19,First Class,CUST3518,Customer 1782,Corporate,USA,Dallas,Texas,93816,South,PROD910,Technology,Copiers,Copiers Model 158,6921.67,7,0.05,937.64
ORD100124,2024-02-01,2024-02-03,Same Day,CUST1142,Customer 518,Consumer,USA,Philadelphia,Pennsylvania,40932,East,PROD897,Technology,Accessories,Accessories Model 760,5786.99,6,0.2,1005.91
ORD100125,2025-01-14,2025-01-17,Same Day,CUST4125,Customer 315,Home Office,USA,Dallas,Texas,28047,South,PROD642,Office Supplies,Storage,Storage Model 475,197.67,1,0.2,20.75
ORD100126,2025-06-14,2025-06-18,Standard Class,CUST2072,Customer 3175,Corporate,USA,Detroit,Michigan,68493,Central,PROD319,Technology,Accessories,Accessories Model 726,233.41,4,0.0,24.7
ORD100127,2025-12-31,2026-01-04,Standard Class,CUST4319,Customer 2794,Corporate,USA,Miami,Florida,97535,South,PROD455,Office Supplies,Binders,Binders Model 826,2436.15,2,0.05,403.46
ORD100128,2025-10-15,2025-10-17,First Class,CUST3083,Customer 919,Consumer,USA,Philadelphia,Pennsylvania,36342,East,PROD911,Technology,Accessories,Accessories Model 242,5099.02,5,0.05,1571.5
ORD100129,2025-07-18,2025-07-20,Standard Class,CUST1269,Customer 1267,Corporate,USA,San Francisco,California,72739,West,PROD638,Furniture,Tables,Tables Model 520,4075.12,9,0.2,860.25
ORD100130,2025-06-13,2025-06-16,Second Class,CUST4596,Customer 3396,Home Office,USA,Minneapolis,Minnesota,93859,Central,PROD701,Furniture,Chairs,Chairs Model 286,545.01,6,0.3,38.01
ORD100131,2024-11-26,2024-12-02,Second Class,CUST2417,Customer 3881,Home Office,USA,San Francisco,California,47230,West,PROD966,Technology,Phones,Phones Model 180,394.34,2,0.2,7.65
ORD100132,2024-04-05,2024-04-10,Second Class,CUST3424,Customer 3857,Home Office,USA,Houston,Texas,30210,South,PROD275,Technology,Copiers,Copiers Model 774,4488.91,5,0.05,962.1
ORD100133,2024-09-28,2024-10-04,Second Class,CUST4141,Customer 2344,Corporate,USA,Miami,Florida,91016,South,PROD754,Furniture,Chairs,Chairs Model 131,2847.7,2,0.0,801.08
ORD100134,2025-02-19,2025-02-22,Same Day,CUST1298,Customer 2821,Consumer,USA,Minneapolis,Minnesota,30719,Central,PROD550,Technology,Accessories,Accessories Model 525,1625.28,5,0.15,377.4
ORD100135,2024-12-19,2024-12-23,Second Class,CUST4115,Customer 1518,Home Office,USA,Detroit,Michigan,83616,Central,PROD208,Furniture,Tables,Tables Model 426,4584.91,10,0.05,1125.64
ORD100136,2025-01-28,2025-02-04,Same Day,CUST2016,Customer 3944,Consumer,USA,San Francisco,California,52917,West,PROD691,Furniture,Tables,Tables Model 838,1736.59,8,0.05,78.46
ORD100137,2024-01-24,2024-01-25,Same Day,CUST3070,Customer 1873,Consumer,USA,Houston,Texas,38199,South,PROD697,Furniture,Tables,Tables Model 461,5799.96,9,0.15,478.86
ORD100138,2024-01-09,2024-01-16,Standard Class,CUST2765,Customer 549,Corporate,USA,New York,New York,57943,East,PROD882,Office Supplies,Paper,Paper Model 512,7107.31,10,0.3,111.76
ORD100139,2024-03-16,2024-03-20,Same Day,CUST4130,Customer 2253,Corporate,USA,Houston,Texas,91689,South,PROD796,Office Supplies,Binders,Binders Model 725,2464.72,10,0.2,335.12
